경기,군포시,총인구수 (명),275852,10130,12472,12754,15315,18124,20090,18647,21230,20676,25084,24193,24123,19288,10924,8068,6468,4641,2457,888,212,68
경기,의왕시,총인구수 (명),161153,6011,7090,6742,8420,11175,11557,10231,11901,11166,13800,14530,15109,12598,7127,5018,3838,2660,1447,550,138,45
경기,하남시,총인구수 (명),272455,13679,15968,12280,11352,14495,17755,19460,27377,24588,22476,19767,20666,18995,12714,8989,5689,3470,1695,729,207,104
경기,용인시,총인구수 (명),1059609,44824,60631,60670,62431,67683,64570,61283,88194,95033,105191,86441,71451,57390,41331,35603,27576,17217,8076,3074,767,173
경기,파주시,총인구수 (명),454040,19753,25597,24162,24458,26214,29063,29999,37820,37110,42024,36407,33215,27555,17469,14997,13089,8911,4114,1521,380,182
경기,이천시,총인구수 (명),215834,8902,11095,10746,11932,13322,15466,14175,16689,16703,18143,17634,17299,14483,9158,6903,5855,4298,2082,710,177,62
경기,안성시,총인구수 (명),183405,6325,8615,8716,9549,10972,10484,10013,13619,14011,15901,15389,15443,13639,9393,7110,6100,4787,2377,736,176,50
경기,김포시,총인구수 (명),437221,23204,28867,23680,21117,22782,24640,27675,43459,41754,38604,32223,30521,26417,17440,13827,10059,6484,3035,1110,257,66
경기,화성시,총인구수 (명),815396,48127,57482,49789,42931,43757,53115,63239,86722,81208,73678,58199,49697,38018,23857,17281,12824,9063,4473,1488,336,112
경기,광주시,총인구수 (명),372654,17384,18839,16288,17289,20976,22909,24762,35068,31305,33238,30995,30525,26732,16826,12076,8652,5169,2404,884,239,94
경기,양주시,총인구수 (명),222314,8510,11304,11513,12419,13377,12903,11595,16019,17543,21040,18896,17913,15870,10272,8682,6938,4473,2057,720,206,64
경기,포천시,총인구수 (명),148379,4066,5252,5781,7374,9110,8782,7057,7982,9050,12409,14235,15526,14140,8145,6739,5649,4185,1922,696,210,69
경기,여주시,총인구수 (명),111083,3314,4402,4556,5396,6236,5831,5133,6876,7334,8834,9664,10539,9900,7122,5325,4747,3401,1689,587,159,38
경기,연천군,총인구수 (명),43824,1423,1516,1464,1865,2504,2964,2081,2255,2196,2885,3319,4086,4276,2814,2680,2408,1850,810,309,78,41
경기,가평군,총인구수 (명),62415,1605,2002,2176,2681,3142,3032,2713,3279,3534,4563,5281,6387,6597,4612,3539,3254,2367,1112,391,103,45
경기,양평군,총인구수 (명),116874,3174,4446,4780,4978,5295,5161,4742,6476,7259,9069,9444,11574,12028,8936,6907,5728,3937,1979,711,190,60
