,시도명,시군구명,인구_주성분,도시지역면적,주거지역면적,상업지역면적,폐기물관리손수레_구간,대체_재활용
51,경기,의왕시,-2.64812356260898,-0.31564369856801455,-0.8023855026772353,-0.8170917588171769,0,30.3
52,경기,하남시,-1.492219809147852,0.1484770151432753,-0.15570086614075032,-0.353393370197771,0,109.3
53,경기,용인시,2.4554261627514617,3.1951703561336258,2.0395015381721606,1.2880674623665653,0,297.09999999999997
54,경기,파주시,0.7118918995726333,2.114932831677711,0.603129483643247,0.3011058802567475,0,312.5
55,경기,이천시,-1.601570258921267,0.7335890487221689,-0.825902327495669,-0.6049462602138617,0,332.3
56,경기,안성시,-1.3611827358504138,-0.28110027773378027,-0.48912956478233915,-0.3413348041878862,0,131.3
57,경기,김포시,0.8042348727227854,0.5538003213475917,0.3350257008118208,0.17090013467826276,0,136.1
58,경기,화성시,3.587043739417171,2.70804798854917,3.486108514563569,2.5039554657540295,0,383.6
59,경기,광주시,-0.03289616287164203,1.8480989604597216,-0.3906075995808286,-0.7518971617780388,0,162.0
60,경기,양주시,-1.5625601630896542,0.5562798077309815,1.062829313552955,-0.5947250636122667,0,125.8
61,경기,포천시,-1.6917119236700653,0.012205635836095732,-0.6293846769419787,-0.6563874117073047,0,198.6
62,경기,여주시,-2.648463444341141,0.8111896900647813,-1.2015225668374545,-0.8519083226785642,0,113.0
63,경기,연천군,-3.504115820747492,0.7439104090820929,-1.0515536120873503,-0.7069580481498501,0,52.8
64,경기,가평군,-3.272306682537098,0.7657059832802823,-0.8897723818059873,-0.6986849823149097,0,47.9
65,경기,양평군,-2.6060789125639188,-0.4556483963876399,-1.1273355887047052,-0.7953738793465682,0,40.7
