기간	자치구	동	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2020	중랑구	신내1동	13,693	38,747	18,856	19,891	13,646	37,959	18,451	19,508	X	35	14	21	X	334	48	286	40	85	48	37
2020	중랑구	신내2동	8,487	20,706	9,820	10,886	8,454	20,330	9,588	10,742	X	X	X	X	X	121	28	93	32	51	20	31
2020	중랑구	면목본동	16,118	34,229	16,866	17,363	15,626	32,725	16,015	16,710	6	50	43	7	X	X	X	X	486	897	408	489
2020	중랑구	면목3.8동	11,496	25,006	12,313	12,693	11,263	24,207	11,842	12,365	X	6	6	X	X	21	14	7	231	416	198	218
2020	중랑구	망우본동	13,064	29,446	14,620	14,826	12,860	28,467	14,115	14,352	X	30	13	17	X	252	68	184	197	330	146	184
2020	성북구	소계	184,871	438,833	209,682	229,151	179,660	416,155	198,500	217,655	113	1,034	454	580	79	6,923	2,557	4,366	5,019	7,743	3,208	4,535
2020	성북구	돈암1동	5,843	14,733	6,859	7,874	5,808	14,512	6,697	7,815	X	X	X	X	X	X	X	X	35	56	26	30
2020	성북구	돈암2동	8,150	23,496	11,181	12,315	8,111	23,015	10,916	12,099	6	38	13	25	X	135	X	131	30	64	28	36
2020	성북구	안암동	10,007	18,467	9,125	9,342	9,264	15,119	7,598	7,521	14	143	68	75	5	1,551	719	832	724	1,083	407	676
2020	성북구	보문동	7,378	16,305	7,734	8,571	7,147	15,071	7,198	7,873	9	83	40	43	5	551	173	378	217	361	151	210
2020	성북구	정릉1동	7,139	18,481	8,890	9,591	7,051	17,913	8,554	9,359	X	31	11	20	X	203	115	88	82	117	44	73
2020	성북구	정릉2동	9,071	22,963	11,040	11,923	8,957	22,243	10,651	11,592	6	49	31	18	X	235	71	164	105	158	62	96
2020	성북구	정릉3동	7,882	17,565	8,565	9,000	7,188	14,491	7,266	7,225	19	156	73	83	13	1,260	340	920	662	980	441	539
2020	성북구	정릉4동	10,018	25,170	12,014	13,156	9,865	24,158	11,553	12,605	6	44	30	14	8	413	78	335	139	215	92	123
2020	성북구	길음1동	11,901	35,023	16,572	18,451	11,850	34,464	16,270	18,194	X	47	X	47	X	84	X	84	46	111	43	68
2020	성북구	길음2동	6,466	16,711	8,071	8,640	6,401	16,125	7,726	8,399	6	44	22	22	X	241	108	133	57	98	45	53
2020	성북구	월곡1동	10,089	26,175	12,632	13,543	9,989	25,626	12,290	13,336	X	17	5	12	X	108	57	51	96	173	82	91
2020	성북구	월곡2동	9,238	20,300	9,511	10,789	8,962	19,123	8,929	10,194	X	11	11	X	X	429	156	273	271	417	196	221
2020	성북구	장위1동	8,134	19,411	9,405	10,006	8,056	18,995	9,154	9,841	X	X	X	X	X	42	8	34	76	113	53	60
2020	성북구	장위2동	5,980	13,774	6,777	6,997	5,870	13,115	6,409	6,706	X	6	X	6	X	234	128	106	107	181	86	95
2020	성북구	장위3동	6,854	17,256	8,535	8,721	6,759	16,853	8,254	8,599	X	X	X	X	X	X	X	X	95	155	81	74
2020	성북구	성북동	7,484	16,346	7,584	8,762	7,285	15,513	7,120	8,393	6	69	28	41	5	149	111	38	188	308	116	192
2020	성북구	삼선동	11,068	23,764	11,223	12,541	10,777	22,513	10,598	11,915	10	88	43	45	8	341	116	225	273	437	191	246
2020	성북구	동선동	9,047	15,990	6,574	9,416	8,633	14,880	6,141	8,739	11	103	27	76	6	180	81	99	397	544	151	393
